75,Khiry Robinson,FA,,44,99,75.839285714286,9.5558074819794,93,
76,Lance Dunbar,DAL,7,46,98,75.548387096774,9.6931592429001,79,
77,C.J. Spiller,NO,5,48,94,68.288888888889,9.7436525713974,73,
78,Andre Ellington,ARI,9,45,88,70.488372093023,7.68983652115,70,
79,Paul Perkins,NYG,8,48,162,66.915789473684,12.82157980076,65,
80,Cameron Artis-Payne,CAR,7,49,112,69.136842105263,9.7112095038518,66,
81,Reggie Bush,BUF,10,48,102,69.761904761905,10.164854304836,82,
82,Andre Williams,SD,11,48,102,79.974358974359,10.625289569477,99,
83,Josh Ferguson,IND,10,49,102,75.5,10.137234016906,68,
84,Tyler Gaffney,FA,,50,119,82.875,16.381678027601,84,
85,Kenyan Drake,MIA,8,51,93,74.518518518519,8.729276851402,64,
86,David Cobb,FA,,52,170,82.965517241379,18.887110654369,106,
87,Alfred Blue,HOU,9,52,98,78.719298245614,8.6099786783054,81,
88,Robert Turbin,IND,10,54,104,74.22641509434,9.675180285842,91,
89,Malcolm Brown,LA,8,55,178,89.466666666667,27.121619092934,115,
90,Jacquizz Rodgers,FA,,55,128,84.2,21.212260605603,92,
91,Keith Marshall,WAS,9,56,135,76.567567567568,13.391285065478,88,
92,Benny Cunningham,LA,8,56,97,71.350877192982,8.7489171822638,74,
93,Stepfan Taylor,ARI,9,57,135,104.8,26.536013264995,,
94,Dwayne Washington,DET,10,60,130,96,19.787330834109,,
95,Tyler Ervin,HOU,9,60,96,72.731343283582,8.181854859496,90,
96,Knile Davis,KC,5,61,118,88.4,15.903039541756,95,
97,Jonathan Grimes,HOU,9,62,116,95.307692307692,13.052465817053,,
98,Alex Collins,SEA,5,63,137,87.206896551724,13.707232700281,89,
99,Antonio Andrews,TEN,13,63,118,85.323529411765,11.073871176665,101,
100,Denard Robinson,JAC,5,64,101,83.5,8.8411914732499,94,
101,D.J. Foster,NE,9,65,157,86.4375,22.273775920351,,
102,Mike Tolbert,CAR,7,65,102,81.481481481481,8.2208874458787,83,
103,Tre Mason,LA,8,66,106,82.5,11.308182877899,85,
104,Mike Davis,SF,8,67,176,89.04347826087,22.085758269448,,
105,Bobby Rainey,NYG,8,68,117,95.5,18.006943105369,,
106,Jalen Richard,OAK,10,69,165,94.3,25.416726775885,,
107,Lorenzo Taliaferro,BAL,8,69,115,96.625,15.523671440738,103,
108,Bishop Sankey,NE,9,69,113,94.692307692308,12.79654169258,,
109,Dexter McCluster,FA,,70,127,87.166666666667,14.881942824182,104,
110,Orleans Darkwa,NYG,8,71,120,95.125,12.74203182385,102,
111,Damien Williams,MIA,8,71,109,89.736842105263,11.902419503097,96,
112,Kenneth Farrow,SD,11,72,142,100.6,24.936719912611,,
113,Jordan Todman,IND,10,73,114,92.375,11.112352361224,,
114,Fozzy Whittaker,CAR,7,75,124,95.571428571429,12.821378829987,100,
115,Brandon Bolden,NE,9,75,115,95,10.730463976122,80,
116,Terrell Watson,FA,,75,108,89.545454545455,10.534477044997,,
117,Daniel Lasco,NO,5,76,161,99.076923076923,20.767806218952,,
118,Matt Asiata,MIN,6,76,115,89.8,10.805554127392,,
119,Troymaine Pope,NYJ,11,76,110,97.333333333333,11.869662543177,,
120,Kapri Bibbs,DEN,11,77,107,95,11.045361017187,,
121,Donald Brown,FA,,78,116,92.666666666667,12.957194483718,105,
122,Roy Helu,FA,,79,110,93.8,13.136209498938,111,
123,Joique Bell,FA,,79,98,88.666666666667,7.7602978178819,,
124,Stevan Ridley,FA,,79,96,87.666666666667,5.3851648071345,97,
125,Kyle Juszczyk,BAL,8,82,114,91.166666666667,10.589565094417,,
126,Marcel Reece,OAK,10,83,119,95.909090909091,11.252915141134,116,
127,Daryl Richardson,PIT,8,84,132,113,19.326148090088,108,
128,Rex Burkhead,CIN,9,84,120,100.09090909091,9.9677164837703,,
129,Darius Jackson,DAL,7,85,131,105.5,14.080127840329,113,
130,Fitzgerald Toussaint,PIT,8,86,122,96.2,10.93892133622,,
131,Trent Richardson,FA,,87,123,101.33333333333,11.571036638473,107,
132,Kelvin Taylor,SF,8,91,141,109.16666666667,16.40545302297,,
133,Mike James,TB,6,91,126,106.42857142857,13.31869945235,,
134,Bruce Miller,SF,8,92,126,109,17,,
135,Travaris Cadet,FA,,92,120,103.4,9.5833188405688,,
136,Isaiah Pead,MIA,8,92,115,99.6,8.6162636914152,,
137,Mack Brown,WAS,9,94,136,115,21,,
138,Taiwan Jones,OAK,10,94,127,114.5,12.685293322059,110,
139,Kerwynn Williams,FA,,94,125,109.5,15.5,114,
140,Terron Ward,ATL,11,95,122,108.625,10.185007363768,,
141,Patrick DiMarco,ATL,11,96,124,108,11.775681155104,,
142,Jamize Olawale,OAK,10,99,113,106,7,,
143,Juwan Thompson,DEN,11,100,128,115.5,10.037429949942,,
144,Cedric Peerman,CIN,9,101,134,119,13.638181696986,,
145,George Atkinson,CLE,13,104,108,106,2,,
146,Glenn Winston,CLE,13,110,123,117.33333333333,5.4365021434334,,
147,John Crockett,GB,4,113,182,138.75,26.003605519235,,
148,Tyler Varga,FA,,117,171,139,23.15167380558,,
