67,Darren McFadden,DAL,  vs.  NYG,47,71,62.434782608696,5.131540043068,,
68,Lance Dunbar,DAL,  vs.  NYG,48,78,69.205882352941,6.038013949698,,
69,Tim Hightower,NO,  vs.  OAK,48,72,64.333333333333,5.9348312715883,,
70,Josh Ferguson,IND,  vs.  DET,50,89,68.757575757576,8.1984119047174,,
71,Benny Cunningham,LA,  at  SF,50,84,66.117647058824,6.5921731928738,,
72,Tyler Ervin,HOU,  vs.  CHI,51,83,73.678571428571,7.6113335204275,,
73,Paul Perkins,NYG,  at  DAL,53,105,69.74358974359,9.108232254727,,
74,Andre Ellington,ARI,  vs.  NE,53,79,68.611111111111,5.677821265326,,
75,Zach Zenner,DET,  at  IND,53,78,66.552631578947,5.280038718065,,
76,Robert Turbin,IND,  vs.  DET,55,86,76.777777777778,7.4003670245985,,
77,Mike Tolbert,CAR,  at  DEN,55,82,72,7.7643875666864,,
78,Cameron Artis-Payne,CAR,  at  DEN,57,83,72.756756756757,4.5642879638021,,
79,Fitzgerald Toussaint,PIT,  at  WAS,57,78,71.64,5.8095094457278,,
80,Orleans Darkwa,NYG,  at  DAL,59,106,76.681818181818,8.9462351839722,,
81,Wendell Smallwood,PHI,  vs.  CLE,60,85,73.333333333333,6.2603449738748,,
82,Kenjon Barner,PHI,  vs.  CLE,63,100,77,10.13245610238,,
83,Alfred Blue,HOU,  vs.  CHI,63,83,76.58064516129,5.9393395611361,,
84,Ronnie Hillman,FA,,63,81,75.894736842105,4.8978484733187,,
85,Knile Davis,KC,  vs.  SD,65,101,79.625,10.439558180306,,
86,Kenneth Farrow,SD,  at  KC,66,103,84.5,18.5,,
87,Kenyan Drake,MIA,  at  SEA,66,102,77.535714285714,7.2085373137747,,
88,Jonathan Grimes,HOU,  vs.  CHI,66,100,82.823529411765,6.6707023540399,,
89,Andre Williams,SD,  at  KC,67,105,83.352941176471,7.5298713095056,,
90,Brandon Bolden,NE,  at  ARI,68,101,85.666666666667,13.572848714335,,
91,Denard Robinson,JAC,  vs.  GB,69,91,83.2,7.7562877718661,,
92,Keith Marshall,WAS,  vs.  PIT,69,81,76.125,3.9508701573198,,
93,Fozzy Whittaker,CAR,  at  DEN,70,104,90.5,12.6984250992,,
94,Jonathan Williams,BUF,  at  BAL,70,97,85.5,9.9624294225856,,
95,Dexter McCluster,FA,,70,92,79.166666666667,7.1511459843083,,
96,Matt Asiata,MIN,  at  TEN,70,90,80,8.1649658092773,,
97,Bobby Rainey,NYG,  at  DAL,71,99,85,14,,
98,Khiry Robinson,FA,,71,84,79.285714285714,4.1991252733426,,
99,Kyle Juszczyk,BAL,  vs.  BUF,74,92,81.333333333333,7.7172246018602,,
100,David Cobb,FA,,74,82,78.428571428571,2.321153829896,,
101,Jordan Todman,IND,  vs.  DET,74,80,77,3,,
102,Antonio Andrews,TEN,  vs.  MIN,75,99,91.75,9.7819987732569,,
103,Kapri Bibbs,DEN,  vs.  CAR,75,77,76.333333333333,0.94280904158206,,
104,D.J. Foster,NE,  at  ARI,76,90,83,7,,
105,Marcel Reece,OAK,  at  NO,78,79,78.5,0.5,,
106,Malcolm Brown,LA,  at  SF,80,96,85.666666666667,7.3181661333667,,
107,Jalen Richard,OAK,  at  NO,82,92,87,5,,
108,Mike Davis,SF,  vs.  LA,83,97,89.666666666667,5.7348835113618,,
109,Alex Collins,SEA,  vs.  MIA,85,88,86.5,1.5,,
110,Rex Burkhead,CIN,  at  NYJ,86,98,90.333333333333,5.4365021434334,,
111,Terron Ward,ATL,  vs.  TB,87,110,97.666666666667,9.4633797110523,,
112,Patrick DiMarco,ATL,  vs.  TB,88,102,93,6.3770421565697,,
113,Taiwan Jones,OAK,  at  NO,90,100,94.333333333333,4.1899350299922,,
114,Damien Williams,MIA,  at  SEA,93,109,102.25,6.0570207197929,,
115,Mike James,TB,  at  ATL,94,108,102.66666666667,6.1824123303305,,
116,Darius Jackson,DAL,  vs.  NYG,94,99,96,2.1602468994693,,
117,Zach Line,MIN,  at  TEN,98,107,102.5,4.5,,
118,Aaron Ripkowski,GB,  at  JAC,104,109,106.5,2.5,,
119,Anthony Sherman,KC,  vs.  SD,108,110,109,1,,
