rank,player name,team,matchup,best rank,worst rank,avg rank,std dev
67,MyCole Pruitt,MIN,  at  TEN,40,57,48.5,8.5,,
68,Marcedes Lewis,JAC,  vs.  GB,40,56,49.181818181818,4.4887370529558,,
69,Xavier Grimble,PIT,  at  WAS,43,67,58.666666666667,11.085526098877,,
70,Gavin Escobar,DAL,  vs.  NYG,46,67,54.5,7.6974021591703,,
71,Ed Dickson,CAR,  at  DEN,48,62,55,4.3969686527576,,
72,Logan Paulsen,CHI,  at  HOU,49,70,56.75,7.9175438110566,,
73,Clay Harbor,NE,  at  ARI,49,62,55.5,6.5,,
74,Levine Toilolo,ATL,  vs.  TB,57,67,62,5,,
75,Randall Telfer,CLE,  at  PHI,58,73,65.5,7.5,,
76,Justin Perillo,GB,  at  JAC,58,60,59,1,,
77,Jim Dray,BUF,  at  BAL,59,64,61.5,2.5,,
78,Rhett Ellison,MIN,  at  TEN,59,64,62.142857142857,1.7261494247992,,
79,Lee Smith,OAK,  at  NO,61,66,63.5,2.5,,
80,Brandon Bostick,NYJ,  vs.  CIN,62,77,66.714285714286,4.8318670072251,,
81,Cory Harkey,LA,  at  SF,63,63,63,0,,
82,Luke Stocker,TB,  at  ATL,65,71,68,2.4494897427832,,
83,Nick O'Leary,BUF,  at  BAL,70,71,70.5,0.5,,
